dt,currency,trx
2025-06-13,CNY,3226.57
2025-06-14,CNY,4206.36
2025-06-15,CNY,8954.63
2025-06-16,CNY,37598.57
2025-06-17,CNY,23389.41
2025-06-18,CNY,37819.54
2025-06-19,CNY,37945.42
2025-06-20,CNY,38157.44
2025-06-21,CNY,8910.26
2025-06-22,CNY,13978.63
2025-06-23,CNY,29567.86
2025-06-24,CNY,28010.61
2025-06-25,CNY,17975.23
2025-06-26,CNY,22306.2
2025-06-27,CNY,11693.38
2025-06-28,CNY,10602.42
2025-06-29,CNY,5982.43
2025-06-30,CNY,22166.21
2025-07-01,CNY,40832.58
2025-07-02,CNY,23088.85
2025-07-03,CNY,19687.84
2025-07-04,CNY,16762.31
2025-07-05,CNY,12298.3
2025-07-06,CNY,4556.48
2025-07-07,CNY,28150.15
2025-07-08,CNY,30277.2
2025-07-09,CNY,37495.6
2025-07-10,CNY,35331.34
2025-07-11,CNY,42428.83
2025-07-12,CNY,3537.02
2025-07-13,CNY,6557.29
2025-07-14,CNY,21205.36
2025-07-15,CNY,15840.68
2025-07-16,CNY,21567.13
2025-07-17,CNY,22390.61
2025-07-18,CNY,30875.38
2025-07-19,CNY,10964.45
2025-07-20,CNY,7573.21
2025-07-21,CNY,38778.81
2025-07-22,CNY,23446.61
2025-07-23,CNY,21611.35
2025-07-24,CNY,31647.52
2025-07-25,CNY,10948.65
2025-07-26,CNY,3957.47
2025-07-27,CNY,8015.63
2025-07-28,CNY,47716.51
2025-07-29,CNY,38860.47
2025-07-30,CNY,13525.06
2025-07-31,CNY,43852.72
2025-08-01,CNY,39292.03
2025-08-02,CNY,10331.36
2025-08-03,CNY,12843.52
2025-08-04,CNY,26164.39
2025-08-05,CNY,18860.04
2025-08-06,CNY,30480.94
2025-08-07,CNY,31953.67
2025-08-08,CNY,31533.05
2025-08-09,CNY,9780.89
2025-08-10,CNY,14384.46
2025-08-11,CNY,46089.82
2025-08-12,CNY,45028.68
2025-08-13,CNY,42056.67
2025-08-14,CNY,47737.12
2025-08-15,CNY,13939.79
2025-08-16,CNY,6181.48
2025-08-17,CNY,8940.67
2025-08-18,CNY,43861.38
2025-08-19,CNY,30206.63
2025-08-20,CNY,39921.39
2025-08-21,CNY,15558.4
2025-08-22,CNY,20096.55
2025-08-23,CNY,11781.31
2025-08-24,CNY,4976.81
2025-08-25,CNY,24054.24
2025-08-26,CNY,20594.65
2025-08-27,CNY,23994.47
2025-08-28,CNY,38332.96
2025-08-29,CNY,24713.89
2025-08-30,CNY,9663.16
2025-08-31,CNY,4199.18
2025-09-01,CNY,42200.71
2025-09-02,CNY,24795.55
2025-09-03,CNY,35941.37
2025-09-04,CNY,39015.58
2025-09-05,CNY,18386.44
2025-09-06,CNY,13616.1
2025-09-07,CNY,10394.69
2025-09-08,CNY,27149.01
2025-09-09,CNY,17293.41
2025-09-10,CNY,47692.04
2025-09-11,CNY,40202.73
2025-09-12,CNY,18320.98
2025-09-13,CNY,7052.53
2025-09-14,CNY,12716.09
2025-09-15,CNY,37827.11
2025-09-16,CNY,40631.37
2025-09-17,CNY,27648.04
2025-09-18,CNY,38659.05
2025-09-19,CNY,25459.75
2025-09-20,CNY,5535.16
2025-09-21,CNY,10592.12
2025-09-22,CNY,49040.56
2025-09-23,CNY,22424.04
2025-09-24,CNY,28438.78
2025-09-25,CNY,36960.05
2025-09-26,CNY,31660.25
2025-09-27,CNY,13121.13
2025-09-28,CNY,12140.91
2025-09-29,CNY,12331.89
2025-09-30,CNY,49936.85
2025-10-01,CNY,40096.1
2025-10-02,CNY,44556.13
2025-10-03,CNY,36047.91
2025-10-04,CNY,13275.42
2025-10-05,CNY,4348.6
2025-10-06,CNY,23909.51
2025-10-07,CNY,45056.84
2025-10-08,CNY,18066.21
2025-10-09,CNY,13129.68
2025-10-10,CNY,41524.76
2025-10-11,CNY,13025.83
2025-10-12,CNY,4951.83
2025-10-13,CNY,44173.84
2025-10-14,CNY,37470.71
2025-10-15,CNY,30803.31
2025-10-16,CNY,43210.01
2025-10-17,CNY,26769.97
2025-10-18,CNY,5327.93
2025-10-19,CNY,6418.23
2025-10-20,CNY,30206.56
2025-10-21,CNY,31253.23
2025-10-22,CNY,42223.23
2025-10-23,CNY,41654.11
2025-10-24,CNY,33254.66
2025-10-25,CNY,12369.43
2025-10-26,CNY,5301.28
2025-10-27,CNY,12002.58
2025-10-28,CNY,44945.35
2025-10-29,CNY,13022.18
2025-10-30,CNY,19867.54
2025-10-31,CNY,37812.76
2025-11-01,CNY,7913.38
2025-11-02,CNY,13515.77
2025-11-03,CNY,21919.19
2025-11-04,CNY,3142.46
2025-11-05,CNY,22026.23
2025-11-06,CNY,33123.0
2025-11-07,CNY,25037.54
2025-11-08,CNY,9418.47
2025-11-09,CNY,13519.18
2025-11-10,CNY,46499.4
2025-11-11,CNY,20638.96
2025-11-12,CNY,28485.62
2025-11-13,CNY,31965.76
2025-11-14,CNY,47964.5
2025-11-15,CNY,14983.41
2025-11-16,CNY,5824.89
2025-11-17,CNY,39079.19
2025-11-18,CNY,25121.24
2025-11-19,CNY,10324.33
2025-11-20,CNY,10370.1
2025-11-21,CNY,28422.64
2025-11-22,CNY,8860.02
2025-11-23,CNY,3270.84
2025-11-24,CNY,37477.1
2025-11-25,CNY,21760.14
2025-11-26,CNY,32395.72
2025-11-27,CNY,22036.76
2025-11-28,CNY,16685.37
2025-11-29,CNY,7886.08
2025-11-30,CNY,5787.28
2025-12-01,CNY,31392.04
2025-12-02,CNY,17953.14
2025-12-03,CNY,30336.24
2025-12-04,CNY,16295.14
2025-12-05,CNY,36838.99
2025-12-06,CNY,12047.25
2025-12-07,CNY,4324.73
2025-12-08,CNY,28712.1
2025-12-09,CNY,12834.87
2025-12-10,CNY,33927.3
2025-12-11,CNY,20576.17
2025-12-12,CNY,31104.98
2025-12-13,CNY,9209.53
2025-12-14,CNY,14092.25
2025-12-15,CNY,31963.33
2025-12-16,CNY,33319.94
2025-12-17,CNY,26066.13
2025-12-18,CNY,47963.18
2025-12-19,CNY,41087.44
2025-12-20,CNY,6424.86
2025-12-21,CNY,13130.52
2025-12-22,CNY,27295.85
2025-12-23,CNY,43146.69
2025-12-24,CNY,42915.52
2025-12-25,CNY,17554.81
2025-12-26,CNY,38045.65
2025-12-27,CNY,6487.72
2025-12-28,CNY,6569.91
2025-12-29,CNY,21853.92
2025-12-30,CNY,39022.73
2025-12-31,CNY,19193.04
